OBJECTID,FID_precipitation_Output_Features,lat,lon,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3426,12630,30.375,93.375,571.673,525.839,508.976,602.881,634.571,407.796,572.605,539.589,473.863,462.277,442.944,468.787,469.248,432.255,592.085,525.902,578.616,580.84,507.39,431.898,404.964,557.036,546.27,397.339,436.869,448.845,594.21,422.991,474.047,489.497,465.473,577.66,595.474,473.811,465.005,423.779,467.527,548.516,495.134,568.388,499.366,491.487,592.707,643.189,434.962,562.234,413.048,489.889,506.401,505.449,623.75,535.644,634.95,582.571,558.054,625.72,614.836,452.053,413.999,491.965,606.02,389.46,516.884,525.339,467.433,546.27,583.403,431.685,584.743
9020,20909,38.375,115.125,518.852,629.406,629.473,384.542,441.776,558.378,1018.803,559.389,861.639,372.443,534.804,704.78,454.176,713.551,400.436,737.495,887.242,305.695,532.668,606.506,415.846,539.889,478.212,471.508,298.731,748.854,473.899,314.734,619.675,792.866,500.154,564.457,435.002,376.406,564.513,457.246,368.676,633.924,360.866,451.522,674.444,442.651,765.084,655.934,406.703,395.706,685.223,757.692,721.568,332.695,413.264,316.956,389.849,323.722,413.408,530.404,565.239,474.195,393.052,574.813,584.475,505.164,461.422,511.618,588.649,575.301,425.058,503.594,576.971
525,5830,23.625,121.375,1859.671,1992.892,1818.582,2618.654,1930.999,2323.6,1862.862,1783.695,1723.982,1764.256,2374.451,2182.165,2170.995,2301.255,2250.551,1410.198,2076.51,2056.432,2036.524,2352.858,2637.685,2128.808,2141.125,2067.343,2512.356,2386.731,2285.526,2296.088,1823.577,1959.067,2340.686,1849.032,1405.477,2157.566,1818.658,1908.038,2197.257,2348.049,2141.828,1966.454,2338.052,2039.396,2538.453,1673.833,2322.262,1324.95,2291.555,2064.124,2079.391,1757.329,2889.969,1904.934,2484.809,2501.805,2275.808,1410.943,1988.004,1983.519,2172.551,1911.432,2499.381,2094.782,2434.113,1774.798,2807.99,2117.185,1794.153,2547.963,2602.729
1959,10102,27.875,101.375,1035.333,960.696,813.117,1033.068,1056.167,789.203,1057.673,892.65,1006.312,927.618,863.411,885.384,810.47,780.391,783.003,878.633,885.753,1100.707,935.591,802.303,1151.155,803.224,861.948,862.833,705.359,896.945,1078.967,823.537,813.277,763.773,969.803,830.607,973.464,865.601,812.265,716.074,836.798,942.932,943.607,983.737,855.917,938.261,1016.978,974.12,728.304,1003.85,790.044,878.157,797.889,817.438,1168.055,1144.194,990.976,1073.581,964.198,872.012,1022.066,797.071,824.598,914.482,927.461,823.018,933.829,660.205,925.215,866.536,943.043,869.32,1062.142
2246,10632,28.375,105.875,1155.207,1043.545,1152.812,1097.56,1167.174,987.71,1417.368,995.254,1226.378,1250.611,890.276,887.539,903.529,1074.026,1190.021,1049.197,1292.672,1192.674,889.595,1185.338,1315.219,1125.921,1167.169,962.347,1076.356,1267.398,1271.167,1047.755,1128.221,1128.295,862.631,1068.011,1132.021,1047.838,1031.575,1282.408,1066.585,1112.376,1000.595,993.458,964.819,1038.235,929.229,1160.983,1017.894,1106.496,1088.424,1040.615,1309.024,966.815,1281.751,1194.223,1163.632,954.794,1078.071,974.607,1097.588,998.686,982.913,1073.507,1137.627,1042.34,988.43,805.706,1063.728,975.9,1317.586,1375.857,1372.336
1595,9115,26.875,110.625,1505.479,1582.988,1335.576,1369.4,1439.589,1588.044,1550.933,1509.313,1185.635,1446.119,1485.106,1475.974,1310.422,1858.791,1556.785,1168.549,1349.899,1488.831,1184.568,1428.376,1566.185,1325.446,1568.894,1145.059,1461.328,1603.408,1185.395,1555.487,1410.023,1398.65,1333.963,1243.968,1435.1,1470.036,1685.401,1367.609,1263.676,1126.257,1225.171,1457.932,1381.729,1415.936,1346.374,1485.581,1188.728,1472.761,1869.563,1249.157,1362.384,1623.013,1340.35,1465.702,1416.285,1307.959,1767.637,1140.91,1366.359,1081.639,1578.654,1007.67,1246.902,1208.855,1383.679,987.356,1529.376,1208.088,1509.571,1593.518,1436.419
7885,19329,36.875,104.125,323.469,394.619,346.785,404.636,366.972,345.372,319.269,362.728,310.628,233.188,389.069,367.274,306.887,443.738,245.28,213.465,446.573,225.851,224.273,400.94,327.102,265.137,322.837,319.822,250.981,330.231,232.331,263.08,346.067,364.347,455.496,352.566,237.043,280.784,207.214,380.294,289.307,405.269,277.555,247.172,324.821,312.094,323.131,239.728,322.385,287.343,316.477,326.402,346.39,249.228,324.235,319.397,307.332,308.248,345.759,358.095,277.638,280.262,269.591,356.057,267.358,252.066,281.768,337.842,390.807,260.417,326.087,292.076,336.852
4960,14940,32.625,94.875,365.962,341.325,341.151,345.486,347.984,310.527,379.194,307.248,276.515,327.098,318.066,260.296,320.817,347.284,354.11,395.129,331.011,375.207,281.691,311.959,303.847,316.006,355.54,346.388,274.808,293.839,402.226,357.876,347.215,274.097,315.143,292.626,410.313,343.017,374.511,391.04,303.86,431.385,281.789,355.927,354.705,370.384,329.577,316.979,258.149,377.889,254.933,339.878,322.245,281.053,383.502,360.514,357.203,335.332,291.774,392.976,358.871,361.006,285.546,318.896,420.032,387.792,320.491,365.045,368.804,360.109,410.288,291.158,295.205
4995,14975,32.625,103.625,754.559,932.949,618.106,647.023,774.615,658.58,865.912,769.1,685.687,673.549,738.791,532.151,742.107,744.417,685.644,753.048,694.68,578.757,734.72,801.429,670.224,682.443,517.214,714.562,628.84,829.445,727.49,878.359,716.636,656.955,750.656,638.676,755.547,695.679,707.626,739.514,720.027,660.052,576.017,609.346,723.968,680.882,769.978,630.473,761.712,881.31,702.307,624.82,589.326,554.985,737.333,709.629,709.761,669.334,543.256,715.844,761.219,702.183,667.219,599.094,608.323,751.398,746.767,678.366,765.35,629.371,750.048,658.937,639.711
7313,18527,36.125,95.625,171.139,187.463,150.289,161.1,208.353,117.329,177.73,131.246,81.703,127.883,143.766,169.243,158.219,106.166,173.535,187.186,167.533,79.347,141.844,297.514,98.458,115.19,210.179,249.036,104.205,107.268,105.009,164.715,104.414,229.447,123.01,191.993,142.368,160.744,232.767,171.37,128.152,147.959,207.07,177.497,231.673,244.911,92.074,135.804,171.9,96.023,167.612,121.844,194.001,160.08,251.994,170.551,115.727,114.575,235.168,109.028,149.717,189.516,175.274,207.571,186.468,255.457,310.501,137.995,238.765,99.056,197.217,178.645,72.186
6245,16939,34.625,82.625,133.489,150.532,227.207,265.118,116.428,267.383,192.187,149.559,134.786,156.382,135.607,196.559,71.36,101.461,201.225,155.798,122.406,153.073,330.959,120.226,81.797,216.769,193.965,162.088,213.682,92.187,182.743,89.486,95.356,240.427,165.245,101.316,67.124,155.122,138.925,202.921,40.009,134.851,104.871,194.574,197.614,135.117,360.722,185.56,163.141,120.213,92.287,184.797,144.477,166.619,113.389,132.205,252.202,146.306,217.823,196.28,132.356,171.98,206.287,151.159,175.64,73.979,194.855,118.013,152.194,118.696,63.533,192.043,59.853
5892,16317,33.875,119.125,837.153,874.452,1184.118,995.974,916.112,598.294,1074.291,739.497,1301.725,842.054,1020.933,1019.948,1000.646,963.341,1046.413,1120.428,1031.295,1062.362,544.804,792.393,803.389,1019.718,1014.899,1090.623,1037.263,756.893,1175.705,922.631,914.078,727.426,539.486,967.836,954.344,763.364,777.879,890.713,888.1,909.401,890.889,904.319,585.687,764.452,1208.224,1145.754,771.209,913.432,710.499,774.859,1021.829,694.685,1059.752,862.129,1004.199,619.758,749.705,1257.089,688.797,1107.654,994.356,1118.026,973.6,895.16,936.729,859.397,903.266,840.483,911.477,905.247,1069.089
6308,17002,34.625,98.375,305.46,289.242,293.897,304.079,307.022,272.73,303.411,411.056,266.894,316.514,421.461,276.967,279.163,389.721,214.956,287.889,320.41,281.892,271.907,352.483,306.151,278.095,247.687,334.288,284.213,277.75,364.616,445.289,321.443,242.866,272.409,266.106,288.031,378.172,342.581,345.028,300.109,363.673,298.227,322.226,251.64,465.515,276.116,319.887,358.228,352.878,314.549,293.522,320.363,323.278,343.23,357.988,305.769,276.259,300.415,315.699,343.382,389.616,314.395,418.531,295.866,438.795,330.882,378.929,411.945,315.151,363.664,333.848,365.044
12844,26577,43.875,124.125,538.963,646.71,495.029,523.127,428.217,651.769,569.331,576.128,796.1,703.492,476.372,645.331,691.012,488.795,518.038,540.046,503.524,470.794,680.651,405.704,430.888,682.745,573.768,493.986,473.811,483.692,533.761,465.445,523.481,656.246,538.842,535.935,522.556,519.611,336.585,632.72,605.477,640.908,514.503,479.485,510.197,481.331,674.52,574.23,524.082,442.149,701.088,469.669,398.057,540.516,612.822,440.798,463.23,343.8,368.577,524.762,428.219,604.916,397.051,354.386,519.207,356.602,597.518,378.672,690.69,558.058,323.994,511.541,733.703
1480,8828,26.625,102.875,1141.802,1016.529,887.515,979.369,1095.896,826.484,1257.53,1069.136,1049.246,1130.064,882.793,1194.01,820.868,1141.524,940.558,902.116,958.126,1298.934,1173.32,994.087,1420.477,802.431,1058.004,1062.796,848.965,1058.819,1200.221,734.097,990.969,1014.736,1020.141,944.66,1028.069,968.444,838.875,1146.952,1069.675,1115.903,1168.468,995.593,922.593,688.634,1113.64,1109.116,832.741,980.587,1106.703,1206.007,965.022,1209.058,1098.49,1106.328,983.332,1176.615,1042.976,840.687,994.554,935.977,952.054,1101.952,1124.404,841.098,968.062,692.955,841.152,937.723,1134.642,1082.071,1112.464
3198,12212,29.875,116.875,1522.021,2041.548,1470.661,1650.351,1489.189,1678.856,2273.07,1541.13,1646.471,1658.272,1186.47,1508.912,1362.4,1266.463,1239.16,1130.73,1142.405,1387.374,1274.086,1410.171,1072.456,1713.048,1712.645,1194.163,1594.883,1876.812,1530.647,1803.265,1360.628,1711.1,905.043,1099.712,1860.163,1546.271,1295.754,1950.051,1392.665,1322.982,1488.504,1471.572,1315.701,1772.903,1575.004,1617.151,1382.84,1759.28,1322.059,1612.949,1582.552,1350.436,1862.083,2092.844,1262.257,1319.349,1564.501,1484.925,1203.67,1352.883,1242.705,1259.641,1253.804,1352.867,1955.555,1182.06,1864.877,1350.118,1666.445,1917.099,2187.972
